1000,Credit Card,3.0,Paid,P-1000,XXXX-XXXX-XXXX-5100,12/26
1001,Credit Card,15.0,Paid,P-1006,XXXX-XXXX-XXXX-alid,N/A
1003,Credit Card,12.0,Paid,P-1004,XXXX-XXXX-XXXX-alid,N/A
1004,Credit Card,3.0,Paid,P-1005,XXXX-XXXX-XXXX-alid,N/A
1005,Credit Card,3.0,Paid,P-1000,XXXX-XXXX-XXXX-3255,Expiration date
1005,Credit Card,3.0,Paid,P-1000,XXXX-XXXX-XXXX-3255,Expiration date
1006,Credit Card,12.0,Paid,P-1000,XXXX-XXXX-XXXX-3255,5256677
1006,Credit Card,3.0,Paid,P-1000,XXXX-XXXX-XXXX-3255,5256677
1007,Credit Card,3.0,Paid,P-1000,XXXX-XXXX-XXXX-9032,4521
1008,Credit Card,3.0,Paid,P-1011,XXXX-XXXX-XXXX-5883,123
1009,Credit Card,3.0,Paid,P-1000,XXXX-XXXX-XXXX-8585,8489
1010,Credit Card,3.0,Paid,P-1012,XXXX-XXXX-XXXX-alid,12
1011,Credit Card,3.0,Paid,P-1011,XXXX-XXXX-XXXX-5632,3432
